Quote,Author
"The bad news is time flies. The good news is you're the pilot.",Michael Altshuler
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
"Belief creates the actual fact.",William James
"No matter what people tell you, words and ideas can change the world.","Robin Williams (John Keating, Dead Poets Society)"
"Wake up determined, go to bed satisfied.",Dwayne The Rock Johnson
"We are not our best intentions. We are what we do.",Amy Dickinson
"You are never too old to set another goal or to dream a new dream.",C.S.Lewis
"If my mind can conceive it, if my heart can believe it, then I can achieve it.",Muhammad Ali
"Nothing in the world can take the place of Persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan 'Press On' has solved and always will solve the problems of the human race.",Calvin Coolidge
"Do not wait to strike till the iron is hot; but make it hot by striking.",William Butler Yeats
"If you're not making mistakes, then you're not making decisions",Catherine Cook
